"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MANALIPETC","EQ","28-Dec-2020","         35.40","         35.75","         37.20","         35.20","         36.75","         36.80","         36.56","    2896669","           105906113.75","       8963","    1433872","         49.50"
"MANALIPETC","EQ","29-Dec-2020","         36.80","         37.00","         37.00","         35.50","         36.20","         36.20","         36.34","     985538","            35813165.85","       3535","     604654","         61.35"
"MANALIPETC","EQ","30-Dec-2020","         36.20","         36.50","         36.50","         35.40","         35.65","         35.70","         35.77","     476015","            17028169.60","       1899","     255053","         53.58"
"MANALIPETC","EQ","31-Dec-2020","         35.70","         35.85","         36.50","         35.70","         35.85","         35.90","         36.04","     577186","            20801609.95","       2053","     314437","         54.48"
"MANALIPETC","EQ","01-Jan-2021","         35.90","         36.00","         36.35","         35.55","         35.90","         35.70","         35.83","     420371","            15063220.70","       1442","     236186","         56.19"
"MANALIPETC","EQ","04-Jan-2021","         35.70","         36.10","         36.50","         35.45","         35.75","         35.70","         35.89","     479748","            17216537.15","       1819","     237788","         49.57"
"MANALIPETC","EQ","05-Jan-2021","         35.70","         35.45","         36.15","         35.20","         35.30","         35.50","         35.61","     622211","            22155097.10","       1939","     314668","         50.57"
"MANALIPETC","EQ","06-Jan-2021","         35.50","         35.50","         36.50","         35.20","         35.50","         35.40","         35.83","     674878","            24179114.50","       2170","     320399","         47.48"
"MANALIPETC","EQ","07-Jan-2021","         35.40","         35.85","         38.25","         35.50","         37.20","         37.20","         37.00","    2234766","            82676108.20","       5474","    1140251","         51.02"
"MANALIPETC","EQ","08-Jan-2021","         37.20","         37.65","         37.65","         36.40","         36.65","         36.70","         37.11","    1187367","            44064041.50","       3484","     690030","         58.11"
"MANALIPETC","EQ","11-Jan-2021","         36.70","         37.00","         37.00","         35.05","         35.55","         35.60","         35.71","     651550","            23266352.70","       2147","     417769","         64.12"
"MANALIPETC","EQ","12-Jan-2021","         35.60","         35.60","         38.70","         35.25","         37.75","         37.60","         37.76","    3917487","           147933599.15","      11084","    1301950","         33.23"
"MANALIPETC","EQ","13-Jan-2021","         37.60","         37.90","         38.40","         35.25","         36.25","         36.10","         36.87","    1112373","            41008391.15","       4318","     592213","         53.24"
"MANALIPETC","EQ","14-Jan-2021","         36.10","         36.35","         36.50","         35.55","         35.70","         35.75","         35.93","     636943","            22884736.65","       2046","     316657","         49.72"
"MANALIPETC","EQ","15-Jan-2021","         35.75","         35.60","         37.30","         35.60","         36.60","         36.65","         36.56","     911071","            33310506.70","       3133","     507794","         55.74"
"MANALIPETC","EQ","18-Jan-2021","         36.65","         37.00","         37.20","         35.05","         35.80","         35.80","         35.90","     741014","            26598778.70","       2932","     427724","         57.72"
"MANALIPETC","EQ","19-Jan-2021","         35.80","         36.05","         37.60","         35.80","         36.80","         36.75","         36.87","     964090","            35547105.80","       3221","     499916","         51.85"
"MANALIPETC","EQ","20-Jan-2021","         36.75","         36.80","         37.35","         36.05","         36.10","         36.20","         36.35","     425511","            15468466.10","       1650","     266365","         62.60"
"MANALIPETC","EQ","21-Jan-2021","         36.20","         36.70","         36.70","         35.05","         35.60","         35.25","         35.73","     464533","            16596342.90","       1698","     257199","         55.37"
"MANALIPETC","EQ","22-Jan-2021","         35.25","         35.45","         35.85","         34.00","         34.75","         34.45","         34.83","     601686","            20953777.05","       2136","     312827","         51.99"
"MANALIPETC","EQ","25-Jan-2021","         34.45","         34.25","         34.65","         32.75","         33.30","         33.20","         33.45","     641058","            21441038.45","       2361","     381966","         59.58"
"MANALIPETC","EQ","27-Jan-2021","         33.20","         32.85","         33.75","         32.30","         33.35","         33.15","         32.96","     301478","             9936351.50","       1616","     149984","         49.75"
"MANALIPETC","EQ","28-Jan-2021","         33.15","         32.95","         34.50","         32.55","         34.50","         34.35","         33.78","     309382","            10450992.20","       1578","     155512","         50.27"
"MANALIPETC","EQ","29-Jan-2021","         34.35","         34.65","         35.00","         33.30","         33.55","         33.55","         34.24","     255013","             8730577.85","       1320","     147240","         57.74"
